2026-07-31 01:04:31 startup archives unpack
2026-07-31 01:04:31 install libexpat1:arm64 <none> 2.8.2-1~deb13u1
2026-07-31 01:04:31 status triggers-pending libc-bin:arm64 2.41-12+deb13u3
2026-07-31 01:04:31 status half-installed libexpat1:arm64 2.8.2-1~deb13u1
2026-07-31 01:04:31 status unpacked libexpat1:arm64 2.8.2-1~deb13u1
2026-07-31 01:04:31 install fonts-dejavu-mono:all <none> 2.37-8
2026-07-31 01:04:31 status half-installed fonts-dejavu-mono:all 2.37-8
2026-07-31 01:04:31 status unpacked fonts-dejavu-mono:all 2.37-8
2026-07-31 01:04:31 install fonts-dejavu-core:all <none> 2.37-8
2026-07-31 01:04:31 status half-installed fonts-dejavu-core:all 2.37-8
2026-07-31 01:04:32 status unpacked fonts-dejavu-core:all 2.37-8
2026-07-31 01:04:32 install fontconfig-config:arm64 <none> 2.15.0-2.3
2026-07-31 01:04:32 status half-installed fontconfig-config:arm64 2.15.0-2.3
2026-07-31 01:04:32 status unpacked fontconfig-config:arm64 2.15.0-2.3
2026-07-31 01:04:32 install libbrotli1:arm64 <none> 1.1.0-2+b7
2026-07-31 01:04:32 status half-installed libbrotli1:arm64 1.1.0-2+b7
2026-07-31 01:04:33 status unpacked libbrotli1:arm64 1.1.0-2+b7
2026-07-31 01:04:33 install libpng16-16t64:arm64 <none> 1.6.48-1+deb13u5
2026-07-31 01:04:33 status half-installed libpng16-16t64:arm64 1.6.48-1+deb13u5
2026-07-31 01:04:33 status unpacked libpng16-16t64:arm64 1.6.48-1+deb13u5
2026-07-31 01:04:33 install libfreetype6:arm64 <none> 2.13.3+dfsg-1+deb13u1
2026-07-31 01:04:33 status half-installed libfreetype6:arm64 2.13.3+dfsg-1+deb13u1
2026-07-31 01:04:33 status unpacked libfreetype6:arm64 2.13.3+dfsg-1+deb13u1
2026-07-31 01:04:33 install libfontconfig1:arm64 <none> 2.15.0-2.3
2026-07-31 01:04:33 status half-installed libfontconfig1:arm64 2.15.0-2.3
2026-07-31 01:04:33 status unpacked libfontconfig1:arm64 2.15.0-2.3
2026-07-31 01:04:33 install libnspr4:arm64 <none> 2:4.36-1
2026-07-31 01:04:33 status half-installed libnspr4:arm64 2:4.36-1
2026-07-31 01:04:33 status unpacked libnspr4:arm64 2:4.36-1
2026-07-31 01:04:34 install libnss3:arm64 <none> 2:3.110-1+deb13u4
2026-07-31 01:04:34 status half-installed libnss3:arm64 2:3.110-1+deb13u4
2026-07-31 01:04:34 status unpacked libnss3:arm64 2:3.110-1+deb13u4
2026-07-31 01:04:34 install libwrap0:arm64 <none> 7.6.q-36
2026-07-31 01:04:34 status half-installed libwrap0:arm64 7.6.q-36
2026-07-31 01:04:34 status unpacked libwrap0:arm64 7.6.q-36
2026-07-31 01:04:34 install socat:arm64 <none> 1.8.0.3-1
2026-07-31 01:04:34 status half-installed socat:arm64 1.8.0.3-1
2026-07-31 01:04:34 status unpacked socat:arm64 1.8.0.3-1
2026-07-31 01:04:34 startup packages configure
2026-07-31 01:04:34 configure libexpat1:arm64 2.8.2-1~deb13u1 <none>
2026-07-31 01:04:34 status unpacked libexpat1:arm64 2.8.2-1~deb13u1
2026-07-31 01:04:34 status half-configured libexpat1:arm64 2.8.2-1~deb13u1
2026-07-31 01:04:34 status installed libexpat1:arm64 2.8.2-1~deb13u1
2026-07-31 01:04:34 configure libbrotli1:arm64 1.1.0-2+b7 <none>
2026-07-31 01:04:34 status unpacked libbrotli1:arm64 1.1.0-2+b7
2026-07-31 01:04:34 status half-configured libbrotli1:arm64 1.1.0-2+b7
2026-07-31 01:04:34 status installed libbrotli1:arm64 1.1.0-2+b7
2026-07-31 01:04:34 configure libwrap0:arm64 7.6.q-36 <none>
2026-07-31 01:04:34 status unpacked libwrap0:arm64 7.6.q-36
2026-07-31 01:04:34 status half-configured libwrap0:arm64 7.6.q-36
2026-07-31 01:04:35 status installed libwrap0:arm64 7.6.q-36
2026-07-31 01:04:35 configure libnspr4:arm64 2:4.36-1 <none>
2026-07-31 01:04:35 status unpacked libnspr4:arm64 2:4.36-1
2026-07-31 01:04:35 status half-configured libnspr4:arm64 2:4.36-1
2026-07-31 01:04:35 status installed libnspr4:arm64 2:4.36-1
2026-07-31 01:04:35 configure socat:arm64 1.8.0.3-1 <none>
2026-07-31 01:04:35 status unpacked socat:arm64 1.8.0.3-1
2026-07-31 01:04:35 status half-configured socat:arm64 1.8.0.3-1
2026-07-31 01:04:35 status installed socat:arm64 1.8.0.3-1
2026-07-31 01:04:35 configure fonts-dejavu-mono:all 2.37-8 <none>
2026-07-31 01:04:35 status unpacked fonts-dejavu-mono:all 2.37-8
2026-07-31 01:04:35 status half-configured fonts-dejavu-mono:all 2.37-8
2026-07-31 01:04:35 status installed fonts-dejavu-mono:all 2.37-8
2026-07-31 01:04:35 configure libpng16-16t64:arm64 1.6.48-1+deb13u5 <none>
2026-07-31 01:04:35 status unpacked libpng16-16t64:arm64 1.6.48-1+deb13u5
2026-07-31 01:04:35 status half-configured libpng16-16t64:arm64 1.6.48-1+deb13u5
2026-07-31 01:04:35 status installed libpng16-16t64:arm64 1.6.48-1+deb13u5
2026-07-31 01:04:35 configure fonts-dejavu-core:all 2.37-8 <none>
2026-07-31 01:04:35 status unpacked fonts-dejavu-core:all 2.37-8
2026-07-31 01:04:35 status half-configured fonts-dejavu-core:all 2.37-8
2026-07-31 01:04:35 status installed fonts-dejavu-core:all 2.37-8
2026-07-31 01:04:35 configure fontconfig-config:arm64 2.15.0-2.3 <none>
2026-07-31 01:04:35 status unpacked fontconfig-config:arm64 2.15.0-2.3
2026-07-31 01:04:35 status half-configured fontconfig-config:arm64 2.15.0-2.3
2026-07-31 01:04:36 status installed fontconfig-config:arm64 2.15.0-2.3
2026-07-31 01:04:36 configure libnss3:arm64 2:3.110-1+deb13u4 <none>
2026-07-31 01:04:36 status unpacked libnss3:arm64 2:3.110-1+deb13u4
2026-07-31 01:04:36 status half-configured libnss3:arm64 2:3.110-1+deb13u4
2026-07-31 01:04:36 status installed libnss3:arm64 2:3.110-1+deb13u4
2026-07-31 01:04:36 configure libfreetype6:arm64 2.13.3+dfsg-1+deb13u1 <none>
